konsert_datum,konsert_namn,lokal_namn,konsert_biljettpris,konserttyp_namn,Producer,normalized_konsert_datum
1908-04-29,sjung sjung vårkonsert,kfuk:s stora hörsal,1kr 1:50kr,körkonsert,sällskapet sjung sjung,1908 04 29
1908-04-30,konserter valborgsmässoaftonen,skansen,50öre barn under 12 hälften.,utomhuskonsert,skansen skansen (open air museum and historical park),1908 04 30
1908-05-01,konserter,skansen,50öre,utomhuskonsert,,1908 05 01
1908-05-01,medborgarfesten på skansen: vid talarstolen på öfre solliden,skansen,25öre,fest,skansen skansen (open air museum and historical park),1908 05 01
1908-05-01,medborgarfesten på skansen: vid talarstolen på sommarteatern,skansen,25öre,fest,skansen skansen (open air museum and historical park),1908 05 01
1908-05-01,medborgarfesten på skansen: vid talarstolen renberget,skansen,25öre,fest,skansen skansen (open air museum and historical park),1908 05 01
1908-05-02,musikalisk soaré till förmån för husmodersskolan på bränninge,vetenskapsakademiens hörsal,1kr 1:50kr,konsert,,1908 05 02
1908-05-03,konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 05 03
1908-05-04,alliance francaise de stockholm soirée dramatique et musicale,grand hotel festsalen,,dramatisk/musikalisk föreställning,alliance francaise alliance française,1908 05 04
1908-05-04,kfum körens vårkonsert,ladugårdslands kyrka/östermalms ka/hedvig eleonora,1:50kre numrerade 1kr onumrerade,kyrkokonsert,kfum kristliga föreningen af unga mäns kör (manskör) ymca christian association of young men's choir (men's choir),1908 05 04
1908-05-05,nya filharmoniska sällskapets 2a abonnemetnskonsert,kungliga musikaliska akademiens lokal,3:50kr 2:50kr 2kr,konsert,nya filharmoniska sällskapet new philharmonic society,1908 05 05
1908-05-06,populär sångafton,vetenskapsakademiens hörsal,50öre 75öre,viskonsert,lundberg anna,1908 05 06
1908-05-07,familjeafton,berns salong,,konsert,berns orkester / meissnerska kapellet berns orchestra / meissner's chapel,1908 05 07
1908-05-07,konsert,vetenskapsakademiens hörsal,2kr,konsert,sundbaum strömberg kerstin,1908 05 07
1908-05-10,konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 05 10
1908-05-10,provkonsert i tattersall,tattersall,,konsert,,1908 05 10
1908-05-12,soaré,folkets hus,,konsert,hwasser engelbrecht anna lisa,1908 05 12
1908-05-12,stor kyrkokonsert,maria kyrka,,kyrkokonsert,wahlberg anton,1908 05 12
1908-05-15,kfum norr firar sin vårfest på högloftet skansen,skansen,1:25kr inkl suppé,fest,k.f.u.m norr ymca north,1908 05 15
1908-05-16,kungliga musikaliska akademiens högtidsdag,kungliga musikaliska akademiens lokal,,fest,kungliga musikaliska akademien royal swedish academy of music,1908 05 16
1908-05-17,konsert,trefaldighetskyrkan,75öre 50öre,kyrkokonsert,hammarstedt anna,1908 05 17
1908-05-17,konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 05 17
1908-05-18,fröken carlheim gyllenskölds andra uppvisning,vetenskapsakademiens hörsal,,konsert,carlheim gyllensköld sigrid [miss],1908 05 18
1908-05-19,stockholms studentsångareförbunds vårfest,nordiska museets stora hall,1:50kr,konsert,stockholms studentsågnareförbund stockholm student singers association,1908 05 19
1908-05-23,konsert med anledning av sällskapet för svenska kvartettsångens befrämjande 25 årsjubileum,kungliga musikaliska akademiens lokal,2kr 1:50kr,konsert,sällskapet för svenska kvartettsångens befrämjande the society for the promotion of swedish quartet singing,1908 05 23
1908-05-23,par brikolls högtidsdag,hasselbacken,,fest,par bricol possibly a name of an ensemble or musical group,1908 05 23
1908-05-23,s.s.u.h körens första konsert,realläroverkets aula,,körkonsert,s.s.u.h kören sweden's teetotal association of studying youth choir,1908 05 23
1908-05-23,upp till fosterländska sångafton på skansen,skansen,,ungdomskonsert,samfundet för unison sång society for unison singing,1908 05 23
1908-05-24,aftonunderhållning,grand restaurant nationals stora salong,1kr för utomstående 75öre à 50öre för medlemmar,konsertavdelning i samband med annan underhållning,dalaföreningen,1908 05 24
1908-05-24,konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 05 24
1908-05-25,musikföredrag,kfum:s stora sal,,konsert,richard anderssons musikskola richard andersson's music school,1908 05 25
1908-05-28,konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 05 28
1908-05-31,konsert,maria kyrka,1kr 50öre,kyrkokonsert,wahlberg anton,1908 05 31
1908-05-31,studentkonsert inställd,gustav vasa kyrkan,2kr 1:50kr,körkonsert,norrlands nations sångkör norrland's nation choir,1908 05 31
1908-06-01,folkkonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 06 01
1908-06-02,friluftskonsert,vandislunden,,utomhuskonsert,första svea artilleriregementets musikkår first svea artillery regiment's music corps,1908 06 02
1908-06-02,friluftskonsert,vitabergsparken,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 06 02
1908-06-03,friluftskonsert,kronobergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 06 03
1908-06-04,första stora militärkonserten till förmån för militär idrottskassan,hasselbacken,1kr,militärkonsert,,1908 06 04
1908-06-05,friluftskonsert,kronobergsparken,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 06 05
1908-06-05,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 06 05
1908-06-06,friluftskonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 06 06
1908-06-07,två konserter konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 07
1908-06-08,två konserter konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 08
1908-06-14,konsert (en soaré som ej tycks bli af dn0602),vetenskapsakademiens hörsal,2kr 1:50kr,konsert,nordlöf,1908 06 14
1908-06-14,två konserter konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 14
1908-06-15,festföreställning,dramatiska teatern,,dramatisk/musikalisk föreställning,dramatiska teatern dramatic theatre,1908 06 15
1908-06-19,midsommarafton konserter strängaspel ringlekar mm.,skansen,50öre,utomhuskonsert,,1908 06 19
1908-06-20,folkdag med half inträdesavgift rytmiska koraler stängaspel mm.,skansen,25öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 20
1908-06-21,två konserter konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 21
1908-06-23,friluftskonsert,vitabergsparken,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 06 23
1908-06-23,friluftskonsert,kungl. humlegården,,utomhuskonsert,k. kronobergs regementes musikkår royal kronoberg regiment music corps,1908 06 23
1908-06-26,konsert,vaxhlms nya hotell,50öre,konsert,,1908 06 26
1908-06-28,två konserter konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 06 28
1908-06-29,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 06 29
1908-07-03,frälsningsarnéns 23e årskongress 3 8juli: välkomstmöte i florakyrkan,cirkus,,konsert,frälsningsarmén salvation army,1908 07 03
1908-07-03,frälsningsarnéns 23e årskongress 3 8juli: välkomstmöte i templet,cirkus,,konsert,frälsningsarmén salvation army,1908 07 03
1908-07-04,svesk folkviseafton,kungliga musikaliska akademiens lokal,1:50kr 1kr 75öre,viskonsert,finländska föreningen brage finnish association brage,1908 07 04
1908-07-05,stor folkfest till förmån för folkets hus,ugglevikskällan,25öre 10öre för barn,fest,folkets hus styrelse people's house board,1908 07 05
1908-07-05,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 05
1908-07-06,frälsningsarnéns 23e årskongress 3 8juli: jätte musikfest,cirkus,50öre 75öre 1kr,konsert,frälsningsarmén salvation army,1908 07 06
1908-07-08,folkvisematiné,kungliga musikaliska akademiens lokal,2kr 1:50kr 1kr,viskonsert,finländska föreningen brage finnish association brage,1908 07 08
1908-07-08,konsert till förmån för deltagarne uti olympiska spelen i london,hasselbacken,,konsert,stockholms allmänna sångförening stockholm general singing association,1908 07 08
1908-07-12,folkkonsert med half inträdesavgift: två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 12
1908-07-12,två konserter,skansen,25öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 12
1908-07-12,vis och romansafton,rindöbadens restaurat,1:50kr för äldre 1kr för barn,viskonsert,fleetwood gerda baroness,1908 07 12
1908-07-19,folkdag: två konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 19
1908-07-20,stor militärkonsert till förmån för garnisonens idrottstävlingar,hasselbacken,50öre,militärkonsert,stockholms och vaxholms samtliga musikkårer all music corps of stockholm and vaxholm,1908 07 20
1908-07-23,friluftskonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 07 23
1908-07-23,friluftskonsert,vandislunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 07 23
1908-07-24,billighetsdag: två konserter,skansen,10öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 24
1908-07-24,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 07 24
1908-07-24,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 07 24
1908-07-25,operaseptettens konsert,nynäs hafsbad,1:50kr,konsert,operaseptetten opera septet,1908 07 25
1908-07-26,två konserter: bellmansdagen,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 07 26
1908-07-27,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 07 27
1908-07-27,visafton,rindöbadens restaurat,,viskonsert,norrie anna [f. pettersson],1908 07 27
1908-07-29,folkkonsert,kronobergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 07 29
1908-07-30,folkkonsert,vandislunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 07 30
1908-07-30,folkkonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 07 30
1908-07-30,visafton,rindöbadens restaurat,,viskonsert,norrie anna [f. pettersson],1908 07 30
1908-07-31,folkkonsert,kronobergsparken,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 07 31
1908-07-31,folkkonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 07 31
1908-08-02,två konserter,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 02
1908-08-03,folkkonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 08 03
1908-08-04,folkkonsert,vitabergsparken,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 08 04
1908-08-04,tysk svensk musikafton,hasselbacken,,konsert,,1908 08 04
1908-08-05,folkkonsert,kronobergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 05
1908-08-06,folkkonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 06
1908-08-06,folkkonsert,vandislunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 08 06
1908-08-07,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 07
1908-08-07,friluftskonsert,kronobergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 07
1908-08-08,billighetsdag: konserter mm,skansen,10öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 08
1908-08-08,friluftskonsert,vandislunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 08
1908-08-09,konsert,waxholms kyrka,,kyrkokonsert,stockholms allmänna sångförening stockholm general singing association,1908 08 09
1908-08-09,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 09
1908-08-12,1a gästspelskonsert av den världsberömda valskomponisten w. translateur 30mans orkester,berns salong,50öre,konsert,translateur siegfried,1908 08 12
1908-08-12,friluftskonsert,kronobergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 12
1908-08-13,2a gästspelskonsert av den världsberömda valskomponisten w. translateur 30mans orkester,berns salong,50öre,konsert,translateur siegfried,1908 08 13
1908-08-13,friluftskonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 13
1908-08-14,friluftskonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 14
1908-08-14,sista gästspelskonsert av den världsberömda valskomponisten w. translateur 30mans orkester,berns salong,50öre,konsert,translateur siegfried,1908 08 14
1908-08-16,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 16
1908-08-17,extra gästspelskonsert av den världsberömda valskomponisten w. translateur 30mans orkester,berns salong,fri entré,konsert,translateur siegfried,1908 08 17
1908-08-19,stor militärkonsert,hasselbacken,fri entré,militärkonsert,kungl. andra livgardets musik corps royal second life guards music corps,1908 08 19
1908-08-20,stor militärkonsert,hasselbacken,fri entré,militärkonsert,kungl. svea livgardets musik korps royal svea life guards music corps,1908 08 20
1908-08-23,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 23
1908-08-26,folkkonsert,kronobergsgatan 11,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 26
1908-08-27,folkkonsert,vitabergsparken,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 27
1908-08-28,folkkonsert,tantolunden,,utomhuskonsert,kungl. svea artilleriets musik corps royal svea artillery music corps,1908 08 28
1908-08-30,årets sista folkdag: två konserter,skansen,25öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 08 30
1908-08-31,folkkonsert,tantolunden,,utomhuskonsert,kungl. svea ingeniörskårs musikkår,1908 08 31
1908-08-31,operettafton,berns salong,,konsert,berns,1908 08 31
1908-09-06,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 09 06
1908-09-06,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 09 06
1908-09-07,populär operettafton,berns salong,,konsert,berns,1908 09 07
1908-09-13,folkkonsert,arbetare institutet klara norra kyrkogata 8,50öre,folkkonsert,arbetareinstitutets kör workers' institute choir,1908 09 13
1908-09-13,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 09 13
1908-09-19,illuminering och konsert av typografiska föreningens sångkör,mosebacke,,konsert,typografiska föreningens sångkör typographical association choir,1908 09 19
1908-09-20,folkkonsert,arbetare institutet klara norra kyrkogata 8,50öre,folkkonsert,arbetareinstitutet workers' institute,1908 09 20
1908-09-20,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 09 20
1908-09-21,populär operettafton,berns salong,,konsert,berns,1908 09 21
1908-09-27,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 09 27
1908-09-27,populärkonsert,vetenskapsakademiens hörsal,,konsert,,1908 09 27
1908-09-27,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 09 27
1908-09-29,populär konsert,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 09 29
1908-10-03,familjesoaré,vetenskapsakademiens hörsal,1kt 50öre 50öre,viskonsert,lundberg anna,1908 10 03
1908-10-04,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 10 04
1908-10-04,populär konsert,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 10 04
1908-10-04,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 10 04
1908-10-07,invigning av brgarskolans seriers nya konsertlokal viktoriasalen,viktoriasalen,,fest,borgarskolans serier borgarskolan series,1908 10 07
1908-10-08,aino ackté giver en enda konsert,kungliga musikaliska akademiens lokal,6kr 5kr 4kr 3kr 2kr,konsert,ackté aino,1908 10 08
1908-10-11,litteraturafton,viktoriasalen,1:50kr 1kr,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 10 11
1908-10-11,populär konsert: första abonnemangskonserten,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 10 11
1908-10-11,två konserter,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 10 11
1908-10-12,alexander heinemanns andra konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,heineman alexander,1908 10 12
1908-10-14,litteraturafton,viktoriasalen,1:50kr 1kr,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 10 14
1908-10-16,svensk afton,folkets hus,75öre parkett 50öre 2a parkett och rad,folkkonsert,folkkonsertförbundets serier folk concert association's series,1908 10 16
1908-10-17,familjesoaré,vetenskapsakademiens hörsal,1kt 50öre 50öre,viskonsert,lundberg anna,1908 10 17
1908-10-17,folkkonsert,södermalms högre allmänna läroverks aula,25öre,folkkonsert,södermalms arbetareinstitut södermalm workers' institute,1908 10 17
1908-10-17,l. wüller afskedskonsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,wüllner ludwig,1908 10 17
1908-10-17,populär konsert: svensk afton,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 10 17
1908-10-18,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 10 18
1908-10-18,folkkonsert med kommunalt stöd: stenhammarkonsert,kungliga musikaliska akademiens lokal,,folkkonsert,folkkonsertförbundets serier folk concert association's series,1908 10 18
1908-10-18,konsert,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 10 18
1908-10-20,artistringens första konsert,vetenskapsakademiens hörsal,1kr 1:50 reserverade,konsert,artistringen artists' circle,1908 10 20
1908-10-21,tysk romansafton,viktoriasalen,1:50kr första parkett 1kr 2a parkett och rad,konsert,borgarskolans serier borgarskolan series,1908 10 21
1908-10-23,litteraturafton: wennerbergs afton,folkets hus,75öre 50öre,konsert,folkkonsertförbundets serier folk concert association's series,1908 10 23
1908-10-23,soaré till förmån för en understödsfond och framledes även ålderdomshem för bildade självförsörjande kvinnor,kungliga musikaliska akademiens lokal,,konsert,föreningen ljusglimt association ljusglimt,1908 10 23
1908-10-25,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 10 25
1908-10-25,konsert,skansen,,utomhuskonsert,skansen skansen (open air museum and historical park),1908 10 25
1908-10-25,populär konsert: peterson berger afton,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 10 25
1908-10-26,aulinkvartettens första abonnemangskonsert,kfuk:s stora hörsal,2:50kr 2kr 1:50kr.,kammarmusikkonsert,aulinkvartetten aulin quartet,1908 10 26
1908-10-28,konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,kjellström sven,1908 10 28
1908-10-28,litteratur afton: hc andersen och jl heibeg,viktoriasalen,1:50kr 1a parkett 1kr 2a pakett och rad,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 10 28
1908-10-30,konsert till förmån för kfuks byggnad,kfuk:s stora hörsal,1:50kr numrerade 1kr onumrerade,konsert,k.f.u.k ywca,1908 10 30
1908-10-30,menzinskys afskedskonsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,menzinsky modest,1908 10 30
1908-10-30,musikafton,vita bandets östermalmsförening majorsgatan 9b,25öre,konsert,hvita bandets östermalmförening white ribbon's östermalm association,1908 10 30
1908-10-31,familje soaré,vetenskapsakademiens hörsal,1kr och 75 öre numr. 50öre onumr.,viskonsert,lundberg anna,1908 10 31
1908-10-31,stor musikfest: gossmusikkåren inviges,kåren templet östemalmstorg 26 [frälsningsarmén],,konsert,frälsningsarmén salvation army,1908 10 31
1908-11-01,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 11 01
1908-11-01,konsert,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 11 01
1908-11-01,litteratur afton: hc andersen och jl heibeg,viktoriasalen,1:50kr 1a parkett 1kr 2a pakett och rad,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 11 01
1908-11-01,populär konsert,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 11 01
1908-11-02,konsertföreningens första abonnemangskonsert,kungliga musikaliska akademiens lokal,abonnemangspris (4konserter) 15 12 10 och 8kr,konsert,konsertföreningen concert association,1908 11 02
1908-11-04,gustaviansk afton,viktoriasalen,1:50kr 1a parkett 1kr 2a parkett och rad,konsert,borgarskolans serier borgarskolan series,1908 11 04
1908-11-04,nordisk musikafton med samkväm av föreningen för kvinnans politiska rösträtt,grand restaurant nationals stora salong,1:50kr,konsert,föreningen för kvinnans politiska rösträtt association for women's suffrage,1908 11 04
1908-11-04,tio pianister konserera med mignon apparat,kfum:s stora sal,1k för allmänheten 50öre för medlemmar,,k.f.u.m norr ymca north,1908 11 04
1908-11-05,konsert,e. w:s stora salong,,konsert,alexandersson helmer director,1908 11 05
1908-11-05,romans afton,kfuk:s stora hörsal,1kr 1:50kr 2kr,konsert,beck ellen,1908 11 05
1908-11-06,gustaf adolfs fest,kfum:s stora sal,,fest,k.f.u.m norr ymca north,1908 11 06
1908-11-06,konsert med fosterländskt program på gustaf adolfs dagen,berns salong,,konsert,berns,1908 11 06
1908-11-06,sångarhyllning gustaf adolfsdagen,riddarholmskyrkan,,kyrkokonsert,stockholms allmänna sångförening stockholm general singing association,1908 11 06
1908-11-06,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 06
1908-11-06,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 06
1908-11-07,barnvisafton,vetenskapsakademiens hörsal,75öre för barn 1:50kr för vukna,barnkonsert,norrie anna [f. pettersson],1908 11 07
1908-11-07,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 07
1908-11-07,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 07
1908-11-08,bellmanskören ger matiné,vetenskapsakademiens hörsal,,konsert,bellmanskören bellman choir,1908 11 08
1908-11-08,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 11 08
1908-11-08,konsert,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 11 08
1908-11-08,litteratur afton: björnson drachmann,viktoriasalen,1:50kr 1a parkett 1kr 2a parkett och rad,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 11 08
1908-11-08,populärkonsert,vetenskapsakademiens hörsal,,konsert,hansson axel,1908 11 08
1908-11-08,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 08
1908-11-08,"stor promenadkonsert vid skyttesfesten för ""hem och härd"" basarfest",cirkus,3kr 2kr 1:50kr 1kr,fest,,1908 11 08
1908-11-10,aljoscha schkolnicks konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,schkolnick aljoscha [oljascha],1908 11 10
1908-11-11,andra konserten: 12 pianister konserera med mignon apparat,kfum:s stora sal,1k för allmänheten 50öre för medlemmar,,k.f.u.m norr ymca north,1908 11 11
1908-11-11,musik afton: beethovenafton,viktoriasalen,1:50kr mitten och fämre sida 1kr läktaren,konsert,borgarskolans serier borgarskolan series,1908 11 11
1908-11-11,vis afton för barn,vetenskapsakademiens hörsal,75öre för barn 1:50kr för vuxna,barnkonsert,norrie anna [f. pettersson],1908 11 11
1908-11-12,musikaliska artisternas rings andra konsert,vetenskapsakademiens hörsal,1:50kr 50öre,konsert,artistringen artists' circle,1908 11 12
1908-11-14,signe widell ger sago och visafton för barn,kfuk:s stora hörsal,1kr numnerade 75öre onumrerade,barnkonsert,widell signe,1908 11 14
1908-11-15,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 11 15
1908-11-15,konsert,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 11 15
1908-11-15,litteraturafton: gustaf fröding,viktoriasalen,1:50kr parkett mittparti och främre sida 1kr parkett sidoparti och rad.,litterär musikalisk föreställning,borgarskolans serier borgarskolan series,1908 11 15
1908-11-15,populärkonsert,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 11 15
1908-11-17,concordias soaré,grand hotel festsalen,,musik vid föredrag,sångföreningen concordia singing association concordia,1908 11 17
1908-11-17,k.f.u.m körens höstkonsert,gustav vasa kyrkan,1kr,körkonsert,kfum kristliga föreningen af unga mäns kör (manskör) ymca christian association of young men's choir (men's choir),1908 11 17
1908-11-18,gustaviansk afton,viktoriasalen,1:50kr 1a parkett mitt och främre sida 1kr 2a parkett bortre sida och rad,konsert,borgarskolans serier borgarskolan series,1908 11 18
1908-11-19,k.f.u.m körens höstkonsert,kungliga musikaliska akademiens lokal,1kr,körkonsert,kfum kristliga föreningen af unga mäns kör (manskör) ymca christian association of young men's choir (men's choir),1908 11 19
1908-11-19,konsert,kungliga musikaliska akademiens lokal,2kr,konsert,gillberg carin miss,1908 11 19
1908-11-20,selma lagerlöfs afton: föredrag upplsning sång och musik,kfuk:s stora hörsal,1kr,litterär musikalisk föreställning,värmlandsföreningen värmland association,1908 11 20
1908-11-20,teresa carrenos konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,carreño teresa m:me,1908 11 20
1908-11-20,värmlands afton: gustaf fröding,viktoriasalen,,litterär musikalisk föreställning,,1908 11 20
1908-11-22,folkkonsert,arbetare institutet klara norra kyrkogata 8,,folkkonsert,arbetareinstitutet workers' institute,1908 11 22
1908-11-22,konsert,skansen,50öre,utomhuskonsert,skansen skansen (open air museum and historical park),1908 11 22
1908-11-22,populär konsert: emilj sjägrenafton,vetenskapsakademiens hörsal,50öre,konsert,hansson axel,1908 11 22
1908-11-22,signe videll sjunger och berättare fröding andersen lenngren mfl.,viktoriasalen,1kr 1:50kr,litterär musikalisk föreställning,widell signe,1908 11 22
1908-11-23,teresa carreños 2:a konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,konsert,carreño teresa m:me,1908 11 23
1908-11-24,ingeborg lublin stradins konsert,viktoriasalen,2kr 1:50kr,konsert,lublin strandin ingeborg,1908 11 24
1908-11-25,fru anna norrie sjunger och berättar sagor för barn,folkets hus,1kr för äldre 50öre för barn,barnkonsert,norrie anna [f. pettersson],1908 11 25
1908-11-25,musikafton: ryska tonsättare,viktoriasalen,1:50kr parkett mitt främre sida 1kr bortre parkett rad,konsert,borgarskolans serier borgarskolan series,1908 11 25
1908-11-25,teresa carreños sista konsert,kungliga musikaliska akademiens lokal,3kr 2:50kr 2kr 1:50kr,kammarmusikkonsert,carreño teresa m:me,1908 11 25
1908-11-27,o.d. konsert,ladugårdslands kyrka/östermalms ka/hedvig eleonora,2kr numrerade 1:50kr onumrerade,körkonsert,orfei drängar orfei drängar (a male choir),1908 11 27
1908-11-27,symfonikonsert,kungliga operan/kungliga teatern,,symfonikonsert,kungliga teatern/kungliga operan royal theatre/royal opera,1908 11 27
